"last_name, first_name","player_id","year","xwoba","exit_velocity_avg","launch_angle_avg","hard_hit_percent","sprint_speed",""
"Hunter, Torii","116338","2015",".294","88.5","10.8",34.9,"26.5",
"Ortiz, David","120074","2015",".420","93","15.7",49.1,"22.8",
"Rodriguez, Alex","121347","2015",".368","91.4","12",43.9,"23.9",
"Ramirez, Aramis","133380","2015",".304","87.4","15.8",34.5,"24.3",
"Beltre, Adrian","134181","2015",".360","89.5","12.6",40.4,"26.4",
"Beltran, Carlos","136860","2015",".346","90.6","15.6",41.9,"25.5",
"Werth, Jayson","150029","2015",".331","90","15.3",40.7,"25.9",
"Cuddyer, Michael","150212","2015",".296","87.5","7.8",30.8,"27.3",
"Pierzynski, A.J.","150229","2015",".318","85.4","10.5",25.7,"23.9",
"Rollins, Jimmy","276519","2015",".285","85.7","16.2",23.1,"27.0",
"Hamilton, Josh","285078","2015",".317","88.2","9.1",39.2,"27.6",
"Uribe, Juan","346874","2015",".304","88.8","10.7",35.6,"26.3",
"Suzuki, Ichiro","400085","2015",".256","83.2","3.3",13.8,"27.9",
"Martinez, Victor","400121","2015",".330","87.7","15",33.2,"22.3",
"Utley, Chase","400284","2015",".306","88.6","13.3",34.4,"27.5",
"Pujols, Albert","405395","2015",".346","90.7","14.2",38.3,"23.3",
"Byrd, Marlon","407781","2015",".311","86.3","12.1",31.1,"28.0",
"Holliday, Matt","407812","2015",".342","90.5","8.2",39.9,"25.9",
"Teixeira, Mark","407893","2015",".372","89.6","15.7",41.3,"24.4",
"Mauer, Joe","408045","2015",".338","89.5","4.4",39.9,"26.5",
"Morneau, Justin","408047","2015",".316","88.7","9.9",39.2,"25.5",
"Cabrera, Miguel","408234","2015",".432","93.8","12.2",53.3,"24.0",
"Gonzalez, Adrian","408236","2015",".368","88.8","14.2",36.8,"23.9",
"Phillips, Brandon","408252","2015",".316","86.2","10.7",26,"25.8",
"Infante, Omar","408299","2015",".251","84.2","14.2",20.4,"28.1",
"Crawford, Carl","408307","2015",".346","89.8","9.9",41.4,"28.2",
"Reyes, Jose","408314","2015",".265","84.6","13.3",18.6,"27.5",
"Ross, David","424325","2015",".232","87.7","18.3",33.7,"26.0",
"Crisp, Coco","424825","2015",".254","83.8","13.2",20.8,"28.1",
"Peralta, Jhonny","425509","2015",".332","88.2","13.4",34,"25.9",
"Barmes, Clint","425549","2015",".238","83.7","20.6",15.5,"26.2",
"LaRoche, Adam","425560","2015",".301","89.6","13.2",35.9,"24.3",
"Rios, Alex","425567","2015",".289","88.3","15.2",31.8,"28.2",
"Victorino, Shane","425664","2015",".275","83.4","17",17.9,"27.2",
"Loney, James","425766","2015",".293","85.5","12.1",21.5,"24.0",
"Mathis, Jeff","425772","2015",".239","85.8","12.9",29.2,"25.9",
"Choo, Shin-Soo","425783","2015",".357","90.9","7.7",44.1,"27.0",
"Rivera, Rene","425784","2015",".247","85.9","16.7",28.3,"24.6",
"Francoeur, Jeff","425796","2015",".290","88","14.2",33.3,"26.3",
"Upton Jr., B.J.","425834","2015",".320","88.8","12",37.2,"28.0",
"Molina, Yadier","425877","2015",".270","86.4","10.4",25.3,"23.3",
"Navarro, Dioner","425900","2015",".314","87.2","15.5",27.4,"22.5",
"Fielder, Prince","425902","2015",".350","90.9","9.9",44.5,"24.8",
"Cano, Robinson","429664","2015",".356","91","5.5",45.7,"24.5",
"Encarnacion, Edwin","429665","2015",".380","90.1","16.5",43.9,"25.0",
"Hardy, J.J.","429666","2015",".246","87.2","9.6",30.7,"26.4",
"Howard, Ryan","429667","2015",".359","91.3","14.9",45.2,"24.2",
"Gutierrez, Franklin","429711","2015",".379","90.8","9.8",46.6,"25.7",
"Sizemore, Grady","429713","2015",".312","89.2","12.4",36.4,"26.5",
"DeJesus, David","430203","2015",".293","86.8","12.5",27.3,"26.3",
"Young, Delmon","430321","2015",".318","88.1","9.5",35.6,"27.3",
